"ProjectId","ScanCompletedOn","TotalVulnerabilities","ToVerify","NotExploitable","Confirmed","Urgent","ProposedNE","CustomStates","Private","LOC","Languages"
"1","25 01 2019","2","2","0","0","0","0","0","No","11","Java"
"7","22 10 2018","1581","1581","14","0","0","0","0","No","33586","Java,JavaScript,Typescript,VbScript"
"10","22 01 2019","362","362","0","0","0","0","0","No","23406","CSharp,JavaScript,PLSQL,Typescript,VbScript"
"16","03 01 2019","8","8","0","0","0","0","0","No","35","Java"
"18","22 01 2019","13","13","0","0","0","0","0","Yes","693","PLSQL"
"10039","31 10 2018","0","0","0","0","0","0","0","No","141859","CSharp,JavaScript,PLSQL,Typescript,VbScript"
"20054","19 01 2019","71","71","0","0","0","0","0","No","234","Java"
"20055","27 12 2018","8","8","0","0","0","0","0","No","35","Java"
"20058","03 01 2019","8","8","0","0","0","0","0","No","35","Java"
"20059","03 01 2019","8","8","0","0","0","0","0","No","35","Java"
"20060","03 01 2019","8","8","0","0","0","0","0","No","35","Java"
